id,path,album_id,title,artist,artist_sort,artist_credit,album,albumartist,albumartist_sort,albumartist_credit,genre,style,discogs_albumid,discogs_artistid,discogs_labelid,lyricist,composer,composer_sort,work,mb_workid,work_disambig,arranger,grouping,year,month,day,track,tracktotal,disc,disctotal,lyrics,comments,bpm,comp,mb_trackid,mb_albumid,mb_artistid,mb_albumartistid,mb_releasetrackid,trackdisambig,albumtype,label,acoustid_fingerprint,acoustid_id,mb_releasegroupid,asin,isrc,catalognum,script,language,country,albumstatus,media,albumdisambig,releasegroupdisambig,disctitle,encoder,rg_track_gain,rg_track_peak,rg_album_gain,rg_album_peak,r128_track_gain,r128_album_gain,original_year,original_month,original_day,initial_key,length,bitrate,format,samplerate,bitdepth,channels,mtime,added,last_update
1744,/srv/music/musicLibrary/Polo_&_Pan/Caravelle/12_Pays_imaginaire.flac,128,Pays imaginaire,Polo & Pan,Polo & Pan,Polo & Pan,Caravelle,Polo & Pan,Polo & Pan,Polo & Pan,,,0,0,0,,,,,,,,,2017,5,19,12,12,1,1,,,0,0,74a4c37a-dde3-4810-b52d-2512a877cfdb,f906cf78-f0cb-4633-9f8c-e431d40fc16c,1d9ec7ea-0fa4-41d9-917b-723c735ebbfe,1d9ec7ea-0fa4-41d9-917b-723c735ebbfe,5e0e2a66-1e97-4aec-b1c7-4d940d1e5eff,,album,Ekler'o'shocK,,,a5418947-d829-456a-be4e-d29ba8c2a785,,FRPDG1700080,EOS065,Latn,mul,FR,Official,CD,,,,,,,,,,,2017,5,19,,291.72,865820,FLAC,44100,16,2,1632343671.0,1632343506.54718,2022-09-03 19:30:00
1745,/srv/music/musicLibrary/__/00.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,205.333333333333,529200,WAVE,44100,24,2,1632343672.0,1632343545.58293,2022-09-03 19:30:00
1746,/srv/music/musicLibrary/__/00.1.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,252.0,529200,WAVE,44100,24,2,1632343672.0,1632343545.58681,2022-09-03 19:30:00
1747,/srv/music/musicLibrary/__/00.2.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,226.25,529200,WAVE,44100,24,2,1632343676.0,1632343545.59064,2022-09-03 19:30:00
1748,/srv/music/musicLibrary/__/00.3.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,214.0,529200,WAVE,44100,24,2,1632343676.0,1632343545.59457,2022-09-03 19:30:00
1749,/srv/music/musicLibrary/__/00.4.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,220.354149659864,529200,WAVE,44100,24,2,1632343677.0,1632343545.59841,2022-09-03 19:30:00
1750,/srv/music/musicLibrary/__/00.5.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,202.09843537415,529200,WAVE,44100,24,2,1632343680.0,1632343545.60224,2022-09-03 19:30:00
1751,/srv/music/musicLibrary/__/00.6.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,220.416666666667,529200,WAVE,44100,24,2,1632343682.0,1632343545.60596,2022-09-03 19:30:00
1752,/srv/music/musicLibrary/__/00.7.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,210.124988662132,529200,WAVE,44100,24,2,1632343682.0,1632343545.60958,2022-09-03 19:30:00
1753,/srv/music/musicLibrary/__/00.8.wav,129,,,,,,,,,,,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,316.874988662131,529200,WAVE,44100,24,2,1632343683.0,1632343545.6132,2022-09-03 19:30:00
